Factor,Año,Codigo Municipio,Municipio,Tipo de Información,Nivel Académico,Valor
Matriculados,2014,25175,Chía,No Oficial,Prejardín-Jardín,1157
Matriculados,2014,25175,Chía,No Oficial,Transición,716
Matriculados,2014,25175,Chía,No Oficial,Primaria,4653
Matriculados,2014,25175,Chía,No Oficial,Secundaria,4426
Matriculados,2014,25175,Chía,No Oficial,Media,2334
Matriculados,2014,25175,Chía,No Oficial,Total,13286
Matriculados,2014,25175,Chía,Oficial,Prejardín-Jardín,0
Matriculados,2014,25175,Chía,Oficial,Transición,872
Matriculados,2014,25175,Chía,Oficial,Primaria,5765
Matriculados,2014,25175,Chía,Oficial,Secundaria,5016
Matriculados,2014,25175,Chía,Oficial,Media,1843
Matriculados,2014,25175,Chía,Oficial,Total,13496
Matriculados,2014,25126,Cajicá,No Oficial,Prejardín-Jardín,610
Matriculados,2014,25126,Cajicá,No Oficial,Transición,397
Matriculados,2014,25126,Cajicá,No Oficial,Primaria,2043
Matriculados,2014,25126,Cajicá,No Oficial,Secundaria,1221
Matriculados,2014,25126,Cajicá,No Oficial,Media,529
Matriculados,2014,25126,Cajicá,No Oficial,Total,4800
Matriculados,2014,25200,Cogua,No Oficial,Prejardín-Jardín,59
Matriculados,2014,25200,Cogua,No Oficial,Transición,65
Matriculados,2014,25200,Cogua,No Oficial,Primaria,323
Matriculados,2014,25200,Cogua,No Oficial,Secundaria,248
Matriculados,2014,25200,Cogua,No Oficial,Media,88
Matriculados,2014,25200,Cogua,No Oficial,Total,783
Matriculados,2014,25214,Cota,No Oficial,Prejardín-Jardín,617
Matriculados,2014,25214,Cota,No Oficial,Transición,695
Matriculados,2014,25214,Cota,No Oficial,Primaria,4244
Matriculados,2014,25214,Cota,No Oficial,Secundaria,2852
Matriculados,2014,25214,Cota,No Oficial,Media,1003
Matriculados,2014,25214,Cota,No Oficial,Total,9411
Matriculados,2014,25295,Gachancipá,No Oficial,Prejardín-Jardín,71
Matriculados,2014,25295,Gachancipá,No Oficial,Transición,43
Matriculados,2014,25295,Gachancipá,No Oficial,Primaria,237
Matriculados,2014,25295,Gachancipá,No Oficial,Secundaria,103
Matriculados,2014,25295,Gachancipá,No Oficial,Media,52
Matriculados,2014,25295,Gachancipá,No Oficial,Total,506
