Factor,Año,Codigo Municipio,Municipio,Tipo de Información,Nivel Académico,Valor
Deserción,2014,25126,Cajicá,Oficial,Transición, 0.020654 
Deserción,2014,25126,Cajicá,Oficial,Primaria, 0.014085 
Deserción,2014,25126,Cajicá,Oficial,Secundaria, 0.035954 
Deserción,2014,25126,Cajicá,Oficial,Media, 0.009091 
Deserción,2014,25126,Cajicá,Oficial,Total, 0.022197 
Deserción,2014,25175,Chía,Oficial,Transición, 0.018349 
Deserción,2014,25175,Chía,Oficial,Primaria, 0.014397 
Deserción,2014,25175,Chía,Oficial,Secundaria, 0.025518 
Deserción,2014,25175,Chía,Oficial,Media, 0.027672 
Deserción,2014,25175,Chía,Oficial,Total, 0.020599 
Deserción,2014,25200,Cogua,Oficial,Transición, 0.020161 
Deserción,2014,25200,Cogua,Oficial,Primaria, 0.005682 
Deserción,2014,25200,Cogua,Oficial,Secundaria, 0.033999 
Deserción,2014,25200,Cogua,Oficial,Media, 0.037694 
Deserción,2014,25200,Cogua,Oficial,Total, 0.021965 
Deserción,2014,25214,Cota,Oficial,Transición, 0.029787 
Deserción,2014,25214,Cota,Oficial,Primaria, 0.028804 
Deserción,2014,25214,Cota,Oficial,Secundaria, 0.054945 
Deserción,2014,25214,Cota,Oficial,Media, 0.035874 
Deserción,2014,25214,Cota,Oficial,Total, 0.039891 
Deserción,2014,25295,Gachancipá,Oficial,Transición, 0.023669 
Deserción,2014,25295,Gachancipá,Oficial,Primaria, 0.008105 
Deserción,2014,25295,Gachancipá,Oficial,Secundaria, 0.031627 
Deserción,2014,25295,Gachancipá,Oficial,Media, 0.024155 
Deserción,2014,25295,Gachancipá,Oficial,Total, 0.018747 
Deserción,2014,25486,Nemocón,Oficial,Transición, 0.058296 
Deserción,2014,25486,Nemocón,Oficial,Primaria, 0.023105 
Deserción,2014,25486,Nemocón,Oficial,Secundaria, 0.013648 
Deserción,2014,25486,Nemocón,Oficial,Media, 0.016287 
Deserción,2014,25486,Nemocón,Oficial,Total, 0.022333 
Deserción,2014,25758,Sopó,Oficial,Transición, 0.020134 
Deserción,2014,25758,Sopó,Oficial,Primaria, 0.022116 
Deserción,2014,25758,Sopó,Oficial,Secundaria, 0.041489 
Deserción,2014,25758,Sopó,Oficial,Media, 0.040070 
Deserción,2014,25758,Sopó,Oficial,Total, 0.032027 
Deserción,2014,25785,Tabio,Oficial,Transición, -   
Deserción,2014,25785,Tabio,Oficial,Primaria, 0.005942 
Deserción,2014,25785,Tabio,Oficial,Secundaria, 0.005310 
Deserción,2014,25785,Tabio,Oficial,Media, 0.020779 
Deserción,2014,25785,Tabio,Oficial,Total, 0.007315 
Deserción,2014,25799,Tenjo,Oficial,Transición, 0.026846 
Deserción,2014,25799,Tenjo,Oficial,Primaria, 0.016358 
Deserción,2014,25799,Tenjo,Oficial,Secundaria, 0.025295 
Deserción,2014,25799,Tenjo,Oficial,Media, 0.013263 
Deserción,2014,25799,Tenjo,Oficial,Total, 0.020202 
Deserción,2014,25817,Tocancipá,Oficial,Transición, 0.005505 
Deserción,2014,25817,Tocancipá,Oficial,Primaria, 0.005232 
