Nombre Establecimiento,Dirección establecimiento,Teléfono 1,Teléfono 2,Actividad,Tipo de negocio,servicio Domicilio,Correo Electrónico,Número de empleados,¿Está registrado ante DIAN?,¿Está registrado ante Cámara de Comercio?,Su establecimiento se desarrolla en un domicilio:,El Canon de Arrendamiento es (COP):,Número de años en el Mercado,¿Tienen registro contable?,"Dando cumplimiento a la ley 1581/12, autorizo de manera voluntaria al Municipio de Cota el uso de mis datos personales, con estricta sujeción a estas normas y exclusivamente para temas relacionados con programas Institucionales.",¿Está afiliado a FENALCO?,De acuerdo a su actividad. ¿Usted se identifica en qué grupo?
A&P ARKITECTOS,Kr 5 # 14-55 Apto 102,3102886322,3192872972,Otro,Arquitectura y Consultorías,SI,ayp_arkitectos@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Administradora General de Colombia SAS,Calle 8 # 2-75 Cota,3203013703,3144332284,Otro,Broker Inmobiliario Constructor,SI,gerencia@agc-sas.co,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Al paso co+,Zona franca Metropolitana,3115908598,3133751571,Panadería,No Responde,SI,Audsuarez_hp@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Aldeapet.  Guardería canina,Vereda la moya sector la union frente al ingeniero mejia,3015575151,3114711111,Otro,Guardería canina,SI,ricardopulido010985@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
ALEX EXPRESS MESAJERIA ESPECIALIZADA,Cota- BOGOTA,3134056116,3134056116,Otro,Mesajeria,SI,alexandersp2311@gamil.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Alfa y Omega System S.A.S.,Carrera 2B No. 12-38 201,8767776,3125817516,Venta  equipos  cómputo dispositivos,No Responde,SI,gerencia@alfayomegasystem.com.co,1 a 5,Sí,Sí,Arrendado,Menor a 1.000.000,3,Sí,Acepto,No,No Responde
Alimentos Amorositos,"Camellón San Isidro, Casa Johann",3158560044,0,Otro,Dietas Caseras y Pastelería Canina,SI,GalletasAmorositas@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Alimentos ancestrales muiscas,Vereda El abra zunanguanza resguardo indígena,3163388784,3175833006,Panadería,No Responde,SI,rafa_lara1978@hotmaul.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Almacén Barreprecios,cra 5 # 13 a 30,3044702975,3044702975,Otro,Cacharreria  o variedades,NO,Cesarpinilla-29@hotmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
Almacén el Hidroflo,Carrera 5 #16-45 Local 5,3118536111,3118536108,Otro,Suministro y servicio tecnico de motobombas,SI,elhidroflo@gmail.com,No responde,No responde,No responde,No Responde,No responde,No responde,No responde,No responde,No responde,No Responde
