Factor,Año,Codigo Municipio,Municipio,Nivel Académico,Valor,Tipo de Información
Cobertura,2014,25126,Cajicá,Transición,0.9790000000000001,Oficial
Cobertura,2014,25126,Cajicá,Primaria,1.068,Oficial
Cobertura,2014,25126,Cajicá,Secundaria,1.127,Oficial
Cobertura,2014,25126,Cajicá,Media,0.884,Oficial
Cobertura,2014,25175,Chía,Transición,0.777,Oficial
Cobertura,2014,25175,Chía,Primaria,1.011,Oficial
Cobertura,2014,25175,Chía,Secundaria,1.175,Oficial
Cobertura,2014,25175,Chía,Media,1.111,Oficial
Cobertura,2014,25200,Cogua,Transición,0.7829999999999999,Oficial
Cobertura,2014,25200,Cogua,Primaria,0.8809999999999999,Oficial
Cobertura,2014,25200,Cogua,Secundaria,1.016,Oficial
Cobertura,2014,25200,Cogua,Media,0.71,Oficial
Cobertura,2014,25214,Cota,Transición,2.168,Oficial
Cobertura,2014,25214,Cota,Primaria,2.614,Oficial
Cobertura,2014,25214,Cota,Secundaria,2.4619999999999997,Oficial
Cobertura,2014,25214,Cota,Media,1.7990000000000002,Oficial
Cobertura,2014,25295,Gachancipá,Transición,0.66,Oficial
Cobertura,2014,25295,Gachancipá,Primaria,0.778,Oficial
Cobertura,2014,25295,Gachancipá,Secundaria,0.7190000000000001,Oficial
Cobertura,2014,25295,Gachancipá,Media,0.529,Oficial
Cobertura,2014,25486,Nemocón,Transición,1.0290000000000001,Oficial
Cobertura,2014,25486,Nemocón,Primaria,0.96,Oficial
Cobertura,2014,25486,Nemocón,Secundaria,1.065,Oficial
Cobertura,2014,25486,Nemocón,Media,0.795,Oficial
Cobertura,2014,25758,Sopó,Transición,0.951,Oficial
Cobertura,2014,25758,Sopó,Primaria,0.9390000000000001,Oficial
Cobertura,2014,25758,Sopó,Secundaria,1.15,Oficial
Cobertura,2014,25758,Sopó,Media,0.922,Oficial
Cobertura,2014,25785,Tabio,Transición,0.643,Oficial
Cobertura,2014,25785,Tabio,Primaria,0.708,Oficial
Cobertura,2014,25785,Tabio,Secundaria,0.745,Oficial
Cobertura,2014,25785,Tabio,Media,0.5479999999999999,Oficial
Cobertura,2014,25799,Tenjo,Transición,1.4040000000000001,Oficial
Cobertura,2014,25799,Tenjo,Primaria,1.676,Oficial
Cobertura,2014,25799,Tenjo,Secundaria,1.837,Oficial
Cobertura,2014,25799,Tenjo,Media,1.4480000000000002,Oficial
Cobertura,2014,25817,Tocancipá,Transición,1.044,Oficial
Cobertura,2014,25817,Tocancipá,Primaria,1.083,Oficial
Cobertura,2014,25817,Tocancipá,Secundaria,1.2590000000000001,Oficial
Cobertura,2014,25817,Tocancipá,Media,0.9079999999999999,Oficial
Cobertura,2014,25899,Zipaquirá,Transición,0.9390000000000001,Oficial
Cobertura,2014,25899,Zipaquirá,Primaria,0.9359999999999999,Oficial
Cobertura,2014,25899,Zipaquirá,Secundaria,1.04,Oficial
Cobertura,2014,25899,Zipaquirá,Media,0.828,Oficial
Cobertura,2015,25126,Cajicá,Transición,1.105,Oficial
Cobertura,2015,25126,Cajicá,Primaria,1.156,Oficial
Cobertura,2015,25126,Cajicá,Secundaria,1.143,Oficial
Cobertura,2015,25126,Cajicá,Media,0.9740000000000001,Oficial
Cobertura,2015,25175,Chía,Transición,0.914,Oficial
Cobertura,2015,25175,Chía,Primaria,1.082,Oficial
Cobertura,2015,25175,Chía,Secundaria,1.1909999999999998,Oficial
Cobertura,2015,25175,Chía,Media,1.1640000000000001,Oficial
Cobertura,2015,25200,Cogua,Transición,0.7440000000000001,Oficial
Cobertura,2015,25200,Cogua,Primaria,0.8909999999999999,Oficial
Cobertura,2015,25200,Cogua,Secundaria,1.033,Oficial
Cobertura,2015,25200,Cogua,Media,0.623,Oficial
Cobertura,2015,25214,Cota,Transición,2.248,Oficial
Cobertura,2015,25214,Cota,Primaria,2.722,Oficial
Cobertura,2015,25214,Cota,Secundaria,2.385,Oficial
Cobertura,2015,25214,Cota,Media,2.05,Oficial
