NOMBRE_DEPTO;PROVINCIA;CODIGO_MUNICIPIO;NOMBRE_MPIO;Nombre
AMAZONAS;AMAZONAS;91263;EL ENCANTO;El Encanto
;;91405;LA CHORRERA;La Chorrera
;;91407;LA PEDRERA;La Pedrera
;;91430;LA VICTORIA;La Victoria
;;91001;LETICIA;Leticia
;;91460;MIRITI - PARANÁ;Miriti - Paraná
;;91530;PUERTO ALEGRIA;Puerto Alegria
;;91536;PUERTO ARICA;Puerto Arica
;;91540;PUERTO NARIÑO;Puerto Nariño
;;91669;PUERTO SANTANDER;Puerto Santander
;;91798;TARAPACÁ;Tarapacá
ANTIOQUIA;BAJO CAUCA;05120;CÁCERES;Cáceres
;;05154;CAUCASIA;Caucasia
;;05250;EL BAGRE;El Bagre
;;05495;NECHÍ;Nechí
;;05790;TARAZÁ;Tarazá
;;05895;ZARAGOZA;Zaragoza
;MAGDALENA MEDIO;05142;CARACOLÍ;Caracolí
;;05425;MACEO;Maceo
;;05579;PUERTO BERRiO;Puerto Berrio
;;05585;PUERTO NARE;Puerto Nare
;;05591;PUERTO TRIUNFO;Puerto Triunfo
;;05893;YONDÓ;Yondó
;NORDESTE;05031;AMALFI;Amalfi
;;05040;ANORÍ;Anorí
;;05190;CISNEROS;Cisneros
;;05604;REMEDIOS;Remedios
;;05670;SAN ROQUE;San Roque
;;05690;SANTO DOMINGO;Santo Domingo
;;05736;SEGOVIA;Segovia
;;05858;VEGACHÍ;Vegachí
;;05885;YALÍ;Yalí
;;05890;YOLOMBÓ;Yolombó
;NORTE;05038;ANGOSTURA;Angostura
;;05086;BELMIRA;Belmira
;;05107;BRICEÑO;Briceño
;;05134;CAMPAMENTO;Campamento
;;05150;CAROLINA;Carolina
;;05237;DON MATiAS;Don Matias
;;05264;ENTRERRIOS;Entrerrios
;;05310;GÓMEZ PLATA;Gómez Plata
;;05315;GUADALUPE;Guadalupe
;;05361;ITUANGO;Ituango
;;05647;SAN ANDRÉS;San Andrés
;;05658;SAN JOSÉ DE LA MONTAÑA;San José De La Montaña
;;05664;SAN PEDRO;San Pedro
;;05686;SANTA ROSA de osos;Santa Rosa De Osos
;;05819;TOLEDO;Toledo
;;05854;VALDIVIA;Valdivia
;;05887;YARUMAL;Yarumal
;OCCIDENTE;05004;ABRIAQUÍ;Abriaquí
;;05044;ANZA;Anza
;;05059;ARMENIA;Armenia
;;05113;BURITICÁ;Buriticá
;;05138;CAÑASGORDAS;Cañasgordas
;;05234;DABEIBA;Dabeiba
;;05240;EBÉJICO;Ebéjico
;;05284;FRONTINO;Frontino
;;05306;GIRALDO;Giraldo
;;05347;HELICONIA;Heliconia
;;05411;LIBORINA;Liborina
;;05501;OLAYA;Olaya
;;05543;PEQUE;Peque
;;05628;SABANALARGA;Sabanalarga
;;05656;SAN JERÓNIMO;San Jerónimo
;;05042;SANTAFÉ DE ANTIOQUIA;Santafé De Antioquia
;;05761;SOPETRaN;Sopetran
;;05842;URAMITA;Uramita
;ORIENTE;05002;ABEJORRAL;Abejorral
;;05021;ALEJANDRÍA;Alejandría
;;05055;ARGELIA;Argelia
;;05148;CARMEN DE VIBORAL;Carmen De Viboral
;;05197;COCORNÁ;Cocorná
;;05206;CONCEPCIÓN;Concepción
;;05313;GRANADA;Granada
;;05318;GUARNE;Guarne
;;05321;GUATAPE;Guatape
;;05376;LA CEJA;La Ceja
;;05400;LA UNIÓN;La Unión
